,1990-01-01,1990-04-01,1990-07-01,1990-10-01,1991-01-01,1991-04-01,1991-07-01,1991-10-01,1992-01-01,1992-04-01,1992-07-01,1992-10-01,1993-01-01,1993-04-01,1993-07-01,1993-10-01,1994-01-01,1994-04-01,1994-07-01,1994-10-01,1995-01-01,1995-04-01,1995-07-01,1995-10-01,1996-01-01,1996-04-01,1996-07-01,1996-10-01,1997-01-01,1997-04-01,1997-07-01,1997-10-01,1998-01-01,1998-04-01,1998-07-01,1998-10-01,1999-01-01,1999-04-01,1999-07-01,1999-10-01,2000-01-01,2000-04-01,2000-07-01,2000-10-01,2001-01-01,2001-04-01,2001-07-01,2001-10-01,2002-01-01,2002-04-01,2002-07-01,2002-10-01,2003-01-01,2003-04-01,2003-07-01,2003-10-01,2004-01-01,2004-04-01,2004-07-01,2004-10-01,2005-01-01,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01
Akron_OH,79.3,78.53,80.68,80.66,82.0,83.1,84.06,84.92,86.9,87.41,89.11,90.13,91.1,92.01,93.79,95.35,95.68,96.69,98.57,98.47,100.0,101.49,103.39,104.69,107.17,107.28,108.23,110.0,110.94,111.94,114.19,115.41,117.42,118.49,119.77,121.27,122.3,123.61,123.79,124.1,124.18,125.95,128.04,129.45,132.2,133.5,134.49,136.39,136.84,137.07,138.95,139.92,140.85,141.68,143.12,143.33,144.62,145.56,146.37,147.72,149.03,150.38,151.92,152.29,152.87,150.25,149.33,151.27,150.62,148.68,147.23,146.7,147.5,145.63,141.13,141.33,144.39,140.53,137.72,137.96,135.44,135.45,136.84,136.26,132.62,129.19,130.44,130.14,127.01,126.64,127.63,128.52,128.27,128.79,129.5,130.28,128.6,132.24,134.79,134.53,134.78,138.72,136.89,140.45,138.97,141.86,143.43,142.47,143.51,148.1,149.0,150.48,151.26,153.26,158.41,156.44,158.56,162.13,164.05,165.68,167.92,169.05,173.04,177.92,180.07,187.99
Albany_NY,104.3,103.74,103.44,104.79,104.38,105.47,105.34,105.97,107.61,106.36,107.4,107.95,107.0,107.43,107.28,107.47,107.18,104.61,102.94,102.94,100.0,100.61,102.18,102.48,103.29,100.5,100.73,99.4,99.99,100.35,99.82,100.99,102.81,101.93,102.25,103.4,103.65,104.01,104.2,102.93,104.07,105.42,107.55,107.71,108.96,111.25,113.7,114.62,115.8,118.55,121.22,124.19,126.08,128.66,132.52,137.99,140.89,146.17,155.17,158.28,162.26,170.42,177.13,179.38,183.92,187.37,187.97,190.26,192.07,193.89,193.11,194.21,195.46,193.47,192.22,190.87,194.05,190.9,189.03,187.81,186.96,187.0,189.29,188.61,186.53,184.99,184.79,186.74,185.46,183.43,185.2,185.16,185.54,185.25,186.29,184.05,181.76,183.59,185.2,185.4,186.76,187.74,187.98,187.05,189.63,191.49,193.19,193.08,192.2,195.36,198.77,199.35,200.36,201.78,203.0,202.57,205.5,206.77,209.0,210.26,210.51,214.87,217.5,223.32,228.02,234.92
Albuquerque_NM,75.21,75.47,75.95,75.58,75.91,76.61,77.18,77.94,79.79,80.55,81.02,82.09,83.14,85.3,87.06,89.05,91.57,95.23,97.88,98.86,100.0,102.29,104.03,104.93,105.74,105.31,105.31,105.93,106.36,106.53,107.17,108.52,109.16,108.72,109.15,109.91,109.48,109.21,108.9,108.81,109.41,109.14,109.96,110.62,113.08,113.98,114.46,115.34,115.74,116.81,118.38,119.11,120.3,121.57,122.46,124.86,126.27,128.75,132.02,134.32,136.97,143.92,150.08,154.79,160.51,166.91,172.79,176.23,178.6,180.21,180.73,180.93,181.36,178.67,174.48,173.54,174.67,168.41,164.35,163.8,163.29,160.69,161.23,159.96,155.45,151.65,152.53,153.34,150.66,149.74,151.32,150.92,151.5,151.92,151.92,151.29,152.04,153.73,154.97,155.15,156.0,157.12,157.44,157.4,159.09,161.12,163.14,165.34,164.21,166.57,170.39,170.15,171.63,174.09,175.35,175.61,177.33,181.77,184.68,185.48,188.86,191.3,195.49,199.88,206.06,216.0
Amarillo_TX,73.42,73.89,76.15,73.87,77.77,77.39,80.49,79.72,81.07,81.34,82.95,84.04,84.17,87.31,89.77,90.32,93.84,95.89,98.75,98.48,100.0,102.02,102.96,104.15,103.14,104.26,105.22,104.87,106.15,106.54,107.24,110.02,109.47,109.39,111.26,112.04,112.54,115.65,118.58,118.74,120.56,120.26,121.89,123.29,126.61,126.52,127.6,128.2,129.2,131.37,132.4,135.76,135.61,135.78,135.69,137.33,137.34,139.11,141.66,144.24,142.82,146.92,149.63,151.95,151.52,155.13,157.9,157.4,159.96,161.75,161.66,163.16,164.72,163.46,163.0,164.91,164.72,165.5,166.01,165.36,166.53,165.13,166.76,164.93,165.87,163.22,163.45,166.13,167.3,166.43,166.36,169.56,169.18,170.32,171.31,172.55,170.22,174.2,174.45,174.37,177.47,178.99,183.21,183.31,184.43,187.3,188.98,189.15,190.37,191.39,194.32,194.63,196.16,197.89,199.33,198.6,199.67,201.83,205.35,206.03,207.38,208.56,210.93,215.17,220.84,230.58
Ann_Arbor_MI,85.35,86.4,86.13,87.36,86.97,89.24,89.43,90.43,91.17,91.19,91.86,91.95,92.37,92.65,93.15,94.04,95.08,95.59,97.56,98.93,100.0,101.68,102.81,104.38,106.5,108.44,110.42,111.74,114.09,116.21,118.45,119.74,121.23,123.06,126.17,126.88,129.42,132.63,136.22,139.56,141.55,145.01,148.33,150.21,152.58,154.52,157.55,158.27,161.41,164.42,165.59,166.92,168.49,169.84,171.09,174.5,174.88,178.13,181.39,182.42,184.17,187.54,187.5,185.69,185.02,181.71,179.96,180.85,179.32,173.9,164.57,164.31,164.69,157.42,150.44,150.23,151.95,147.15,143.47,141.26,140.4,140.86,140.53,140.3,139.24,138.53,138.79,138.89,136.57,138.66,140.83,141.94,145.48,149.17,153.47,155.75,158.61,162.83,165.92,166.3,166.71,171.96,174.24,177.32,176.51,179.54,184.26,184.41,188.23,194.68,198.9,199.42,200.5,208.63,212.96,212.05,214.4,218.57,220.39,220.26,222.78,222.84,226.41,229.2,232.46,242.26
Asheville_NC,81.92,82.62,84.75,84.91,85.26,85.22,85.52,87.4,88.5,89.33,90.15,91.29,90.18,93.14,93.28,94.41,94.15,96.39,96.37,98.24,100.0,101.09,102.65,104.49,105.09,107.25,108.65,109.78,113.07,114.84,115.8,119.3,120.32,123.21,125.5,126.64,127.48,130.3,130.61,132.58,135.21,137.08,139.07,141.54,144.19,147.06,149.02,151.02,152.06,154.5,157.61,159.34,161.18,163.65,165.64,168.06,170.28,173.45,179.04,180.59,186.96,191.52,195.47,202.97,206.27,213.55,220.16,223.4,229.99,233.75,235.1,236.51,237.42,237.5,234.32,234.18,236.65,233.13,228.21,222.46,221.21,215.73,219.18,216.24,211.95,207.45,206.73,208.92,207.07,200.7,205.63,204.5,206.2,207.17,207.66,209.8,211.14,214.46,219.81,220.42,223.7,230.19,233.39,237.41,240.22,245.64,252.12,253.42,257.2,267.85,268.87,271.82,278.52,282.77,287.44,287.21,293.06,297.27,299.71,305.46,306.75,310.21,316.1,322.85,332.65,350.41
Austin_TX,72.77,73.15,72.77,72.99,75.08,76.81,77.95,78.38,80.29,82.15,84.43,85.66,87.78,89.84,93.05,94.96,97.2,99.84,100.34,100.25,100.0,102.2,104.16,105.03,105.87,106.2,106.23,107.24,106.89,107.13,107.3,109.1,110.54,111.54,113.2,114.68,116.18,119.73,123.19,126.42,130.13,135.38,140.0,142.2,147.87,150.02,149.61,150.42,150.08,150.44,152.82,153.43,153.38,153.39,152.27,153.03,153.22,153.9,154.01,156.36,157.37,160.72,163.74,165.8,167.92,173.41,176.97,180.49,184.75,190.18,192.04,193.64,196.92,198.0,197.45,197.97,198.38,196.26,194.71,194.25,193.42,193.25,194.78,193.4,189.5,189.94,191.84,193.9,193.41,195.23,198.35,200.95,204.21,210.14,216.7,220.86,225.94,236.94,242.35,244.72,248.8,258.47,266.18,266.86,273.14,281.23,287.5,288.69,293.5,302.92,305.94,307.69,311.85,319.83,323.46,323.89,331.89,339.2,343.72,347.06,352.99,358.1,364.84,376.95,393.42,437.48
Bakersfield_CA,97.39,98.69,101.3,102.93,104.44,105.82,105.6,108.44,109.26,108.28,110.04,109.48,108.79,109.13,108.15,108.56,107.6,103.99,103.52,101.14,100.0,100.94,102.08,101.87,103.27,100.19,98.64,99.57,99.03,98.11,99.25,101.76,103.61,102.63,103.82,104.54,104.61,103.65,104.94,102.64,104.21,104.85,107.35,109.14,111.81,113.89,115.64,117.48,119.61,123.12,126.77,130.18,133.76,137.95,144.06,152.55,159.23,169.85,189.48,201.37,215.0,229.98,245.34,260.23,269.95,275.65,278.66,279.43,276.75,270.45,259.81,246.17,227.34,207.99,182.33,172.91,171.91,163.16,154.2,152.15,152.67,148.51,146.97,146.5,139.95,133.99,135.15,135.96,135.59,137.26,142.31,145.52,149.64,157.36,165.14,170.22,176.58,179.32,182.78,184.87,187.49,188.56,191.14,191.11,192.29,193.61,195.51,198.44,199.03,202.42,203.8,206.83,208.97,211.71,214.6,215.6,217.97,221.05,224.13,226.51,229.67,232.95,236.65,243.41,251.51,265.19
Bend_OR,68.53,73.16,74.25,76.35,78.5,80.27,81.4,83.49,85.79,86.97,88.07,90.25,90.72,92.48,93.42,94.14,96.32,97.35,99.07,98.4,100.0,101.64,103.75,104.97,106.36,106.88,106.64,107.37,107.67,109.35,110.79,113.35,115.12,115.26,116.61,118.3,120.99,122.25,123.43,127.07,129.28,131.72,133.9,135.43,139.99,142.3,145.1,146.49,149.95,153.21,155.57,158.09,160.99,162.75,165.58,169.93,171.6,178.31,184.08,189.88,196.49,208.96,226.87,247.1,263.01,285.42,295.75,297.3,296.26,289.57,287.4,283.31,272.24,259.67,241.5,226.95,226.22,209.74,187.76,180.87,172.58,166.36,164.93,165.98,158.32,157.56,159.67,163.63,164.15,160.01,165.43,171.01,177.48,188.25,197.97,206.92,212.34,219.54,228.72,230.81,234.93,246.52,255.75,257.7,263.92,272.23,283.68,286.97,290.27,304.8,307.08,312.49,316.43,326.55,330.04,334.63,337.55,342.07,348.8,353.51,356.07,362.69,369.19,384.01,403.03,440.66
Cedar_Rapids_IA,75.72,76.09,77.48,77.5,78.22,80.49,81.27,82.08,82.73,84.38,85.31,85.59,86.8,88.88,90.23,91.71,93.64,96.62,97.72,99.29,100.0,101.64,103.12,104.25,104.12,105.28,106.25,106.17,105.99,107.14,109.09,109.22,111.05,111.27,112.28,113.61,114.61,115.23,116.28,115.92,117.46,118.68,120.11,120.71,123.05,124.21,125.57,126.33,127.64,127.76,129.77,130.4,131.64,132.34,133.76,134.87,135.76,136.91,138.27,139.49,142.06,142.45,142.68,143.54,143.47,144.16,144.92,145.84,146.36,147.48,147.76,148.04,148.28,147.84,148.01,148.62,149.3,148.09,148.85,148.19,147.69,148.19,149.5,148.31,146.95,146.43,148.01,147.9,148.1,148.05,148.1,148.69,149.16,149.21,148.95,148.41,149.06,151.37,151.37,151.78,153.02,154.02,153.71,153.77,155.13,155.67,156.95,157.32,160.02,160.17,162.34,161.53,163.6,164.55,168.38,168.47,168.9,171.1,171.48,172.63,174.11,174.96,176.3,179.63,181.61,190.85
Chattanooga_TN,86.29,86.48,86.25,86.29,87.75,88.32,88.42,88.94,90.4,90.77,92.44,92.34,92.89,94.45,95.65,96.46,97.78,98.38,99.38,99.26,100.0,102.78,103.42,105.42,107.07,107.52,108.93,110.97,111.27,111.75,113.23,114.72,117.17,117.38,119.32,120.64,122.41,123.18,124.11,124.73,124.89,126.81,127.65,129.72,132.86,134.31,135.65,137.36,138.16,138.79,141.87,143.01,144.38,146.07,147.75,149.44,151.52,153.1,155.88,157.77,160.83,165.11,166.88,170.23,171.97,174.53,175.22,177.01,179.09,181.71,181.48,180.28,181.86,180.85,177.78,176.77,181.12,178.31,175.28,174.83,174.69,172.56,176.48,175.71,171.45,168.07,170.67,171.45,169.36,171.06,171.94,172.18,172.21,174.31,172.42,174.42,175.0,176.35,176.77,178.73,178.43,181.16,183.91,185.46,186.43,188.56,190.4,191.02,194.52,200.15,203.57,205.84,206.62,213.27,214.75,218.0,219.96,225.28,228.27,231.07,233.15,237.62,243.73,249.09,255.41,270.67
Cleveland_OH,80.4,82.04,83.38,83.17,84.46,86.0,86.82,87.83,89.66,89.86,91.77,92.78,93.05,94.09,95.21,96.9,97.44,98.72,98.93,100.3,100.0,102.3,104.28,105.59,107.65,108.12,108.57,109.12,111.14,111.66,112.87,114.32,115.86,116.62,117.88,119.04,120.52,121.18,121.45,121.67,123.35,124.45,125.75,127.41,130.1,131.04,132.5,133.62,134.45,135.73,136.77,137.98,138.98,139.85,141.23,142.95,144.15,145.1,146.76,148.23,148.95,150.26,151.46,151.16,151.39,150.35,149.25,149.01,150.16,148.32,145.21,144.59,144.56,142.68,137.38,137.28,140.94,136.85,133.43,132.87,131.14,129.58,131.74,130.67,126.57,124.24,125.06,126.04,123.3,122.46,124.03,123.78,122.97,123.54,124.74,124.62,124.18,126.77,129.27,129.45,129.95,132.53,133.62,132.55,133.31,135.74,138.16,138.52,139.38,143.21,145.05,144.42,146.4,149.83,152.36,151.62,153.68,156.8,158.77,160.19,162.77,164.32,168.63,172.45,175.13,183.76
Colorado_Springs_CO,73.3,73.11,73.33,73.17,72.76,74.14,75.13,76.39,77.14,78.53,80.28,81.47,82.94,85.69,87.81,90.04,91.68,95.46,98.13,98.42,100.0,101.91,104.14,105.67,108.12,109.24,110.54,111.62,112.81,113.79,115.32,116.79,118.69,119.59,120.68,121.88,123.04,124.04,125.58,127.15,130.99,131.81,134.2,136.37,140.83,143.42,146.39,147.97,149.46,150.68,153.34,154.7,155.29,155.69,156.88,158.54,160.55,161.55,165.22,167.71,169.27,173.65,177.08,179.6,181.75,182.15,183.89,185.33,186.94,186.22,184.48,184.18,184.73,181.63,177.18,179.23,180.71,177.43,173.9,174.45,174.04,171.08,173.57,172.14,168.2,164.44,165.87,167.61,166.94,164.68,167.4,169.29,170.61,172.1,174.63,173.57,174.05,178.25,181.31,181.43,184.18,187.49,192.63,193.43,194.28,202.01,206.8,208.44,213.41,220.55,225.98,227.79,236.4,243.88,248.43,249.78,255.65,260.48,264.83,268.38,272.94,278.0,283.55,292.32,301.13,324.45
Columbus_OH,82.12,82.63,83.88,84.12,84.84,86.17,86.33,87.88,88.76,89.33,90.48,91.14,91.96,92.61,93.92,94.71,96.1,97.75,98.38,99.81,100.0,101.76,103.3,104.68,105.96,107.07,107.73,108.91,110.42,111.07,112.2,113.52,115.17,115.88,117.16,118.71,119.8,120.97,121.4,122.52,123.96,125.52,126.78,128.46,130.89,132.18,133.59,134.76,136.12,137.27,138.88,139.69,140.96,142.01,143.18,145.68,146.73,147.64,149.63,151.56,152.89,154.71,155.99,156.39,156.57,156.5,156.34,156.75,156.78,155.99,155.0,155.19,155.97,153.38,150.66,151.49,153.4,150.27,147.98,147.81,146.28,145.35,147.35,146.76,142.95,140.84,142.69,143.26,141.56,140.92,143.04,142.84,143.26,144.35,146.2,146.18,147.86,152.21,153.24,153.09,154.97,158.35,161.27,162.07,163.79,167.28,171.57,171.41,173.55,179.66,183.21,183.69,186.88,192.31,194.51,195.43,197.54,202.96,205.25,207.29,210.75,212.9,218.25,223.01,227.26,240.57
Corpus_Christi_TX,85.88,85.92,85.97,84.11,84.61,87.99,88.32,88.14,90.24,89.92,94.03,92.73,95.36,95.55,96.61,97.69,99.09,100.13,100.72,100.0,100.0,103.27,104.04,104.4,105.29,105.18,104.13,106.54,104.8,105.83,106.88,106.43,108.29,107.55,108.28,109.6,108.75,111.51,113.82,113.64,112.24,113.68,114.02,116.07,114.47,119.38,120.29,120.94,122.66,123.66,126.37,127.83,128.75,128.74,132.11,132.69,134.59,136.85,139.89,144.5,144.45,148.34,151.59,154.18,156.17,160.06,159.73,160.69,164.44,165.36,166.34,165.26,164.46,164.14,164.67,165.01,168.15,166.28,169.56,165.69,161.78,164.24,161.81,159.2,157.14,158.52,159.76,161.5,156.61,159.61,163.41,161.96,163.38,167.4,170.58,171.5,175.28,182.62,182.82,187.09,187.54,189.11,191.85,196.3,194.0,199.85,201.15,202.53,196.38,205.06,209.32,203.13,207.48,209.11,209.57,209.15,211.91,215.06,219.44,219.29,222.74,225.0,229.38,232.99,242.44,249.43
